stem-- --------cpu--------
n   cs  us  sy  id  wa  st
1 57342   2   1  97   0   0
4 57014   1   1  97   0   0
6 57038   2   1  97   0   0
2 57353   2   1  97   0   0
4 56578   1   1  97   0   0
4 57029   2   1  97   0   0
1 56417   2   1  97   0   0
5 56632   2   1  97   0   0
8 56413   2   1  97   0   0
6 57150   2   1  97   0   0
2 56359   2   1  97   0   0
6 57546   2   1  97   0   0
6 56402   2   1  97   0   0
7 56524   2   1  97   0   0
1 56965   2   1  97   0   0
3 56734   2   1  97   0   0
6 56693   2   1  97   0   0
0 57665   2   1  97   0   0
8 57354   2   1  97   0   0
2 58601   2   1  96   0   0
2 58648   2   1  97   0   0
stem-- --------cpu--------
n   cs  us  sy  id  wa  st
6 59129   2   1  96   0   0
4 59642   2   1  96   0   0
2 59518   2   1  97   0   0
8 59343   2   1  97   0   0
7 60423   2   1  97   0   0
1 60183   2   1  97   0   0
8 60858   2   1  97   0   0
0 60400   2   1  96   0   0
7 60215   2   1  97   0   0
7 60553   2   1  97   0   0
5 60786   3   1  96   0   0
8 60620   2   1  97   0   0
2 60693   1   1  97   0   0
3 60559   3   1  96   0   0
7 60695   3   1  96   0   0
2 59736   3   1  96   0   0
2 60276   2   1  97   0   0
4 60038   2   1  96   0   0
9 60102   3   1  96   0   0
3 59957   2   1  97   0   0
2 60525   2   1  97   0   0
stem-- --------cpu--------
n   cs  us  sy  id  wa  st
8 59860   3   1  96   0   0
0 59464   2   1  96   0   0
4 59870   2   1  96   0   0
4 59153   2   1  97   0   0
6 59209   2   1  97   0   0
3 59758   2   1  96   0   0
2 58438   2   1  97   0   0
8 58928   2   1  97   0   0
3 58288   2   1  97   0   0
7 59143   2   1  97   0   0
4 58204   1   1  98   0   0
6 58228   2   1  97   0   0
3 58669   2   1  97   0   0
3 58179   2   1  97   0   0
7 57949   2   1  97   0   0
0 58122   2   1  97   0   0
5 57714   2   1  97   0   0
5 58932   2   1  97   0   0
9 57790   2   1  97   0   0
5 57335   2   1  97   0   0
7 58608   2   1  97   0   0
stem-- --------cpu--------
n   cs  us  sy  id  wa  st
1 58227   2   1  97   0   0
7 58150   2   1  97   0   0
6 58138   3   1  96   0   0
1 57352   2   1  97   0   0
5 58642   2   1  97   0   0
0 58498   2   1  97   0   0
4 59134   2   1  97   0   0
4 59691   2   1  97   0   0
9 59641   3   1  96   0   0
6 59636   2   1  97   0   0
2 59948   2   1  97   0   0
6 60459   2   1  97   0   0
9 60632   3   1  96   0   0
8 60414   2   1  97   0   0
3 60443   3   1  96   0   0
4 60622   2   1  97   0   0
0 60665   2   1  97   0   0
4 59826   3   1  96   0   0
4 61073   3   2  96   0   0
4 60891   3   1  96   0   0
7 60187   3   1  96   0   0
stem-- --------cpu--------
n   cs  us  sy  id  wa  st
4 59834   2   1  96   0   0
5 60406   3   1  96   0   0
2 59775   2   1  96   0   0
0 60105   2   1  97   0   0
8 59727   3   1  96   0   0
1 59615   2   1  96   0   0
0 59825   2   1  97   0   0
1 59983   2   1  97   0   0
4 59021   2   1  97   0   0
4 59127   3   1  96   0   0
8 59335   1   1  97   0   0
2 59634   2   1  96   0   0
8 58814   2   1  97   0   0
0 58170   2   1  97   0   0
1 58703   2   1  97   0   0
6 58266   2   1  97   0   0
3 58121   2   1  97   0   0
2 58883   2   1  97   0   0
4 58710   2   1  97   0   0
4 58626   2   1  97   0   0
9 58028   2   1  97   0   0
stem-- --------cpu--------
n   cs  us  sy  id  wa  st
8 58106   2   1  97   0   0
3 58286   2   1  97   0   0
2 58303   2   1  96   0   0
5 57956   2   1  96   0   0
9 58013   2   1  97   0   0
3 59040   2   1  97   0   0
9 58860   2   1  97   0   0
1 58041   2   1  97   0   0
1 58064   2   1  97   0   0
5 56610   2   1  97   0   0
3 58266   2   1  97   0   0
0 57377   2   1  97   0   0
9 58421   2   1  97   0   0
4 58736   2   1  97   0   0
2 57963   2   1  97   0   0
3 58446   2   1  96   0   0
9 59027   2   1  97   0   0
7 58723   2   1  96   0   0
0 59085   2   2  97   0   0
7 58813   3   2  96   0   0
9 58423   2   1  96   0   0
stem-- --------cpu--------
n   cs  us  sy  id  wa  st
4 58346   2   2  96   0   0
5 59882   2   2  97   0   0
6 59408   3   1  96   0   0
0 60074   3   2  96   0   0
6 59854   3   1  96   0   0
0 60337   2   2  96   0   0
8 60171   2   1  96   0   0
5 60424   2   1  96   0   0
9 60437   3   2  96   0   0
2 60914   2   1  97   0   0
6 60858   3   1  96   0   0
2 62034   2   1  97   0   0
2 61974   2   2  97   0   0
4 61812   2   2  96   0   0
7 61787   3   2  96   0   0
7 63003   3   2  96   0   0
2 63706   2   2  96   0   0
4 65567   2   2  96   0   0
3 65867   2   2  96   0   0
0 67926   2   1  96   0   0
3 68686   2   2  96   0   0
stem-- --------cpu--------
n   cs  us  sy  id  wa  st
4 73032   2   2  96   0   0
70 100949   2   2  96   0   0
915 532008   3  39  58   0   0
015 676048   2  46  52   0   0
071 687409   2  47  51   0   0
267 692190   2  47  51   0   0
946 691069   2  47  51   0   0
157 663831   3  36  61   0   0
661 539071   4   4  91   1   0
605 305788  10   3  87   1   0
002 36675  26   0  73   1   0
364 32031  25   0  74   1   0
969 29199  25   0  73   1   0
230 27654  25   0  74   1   0
495 24518  25   0  74   1   0
434 23345  25   0  74   1   0
623 26641  25   0  74   1   0
849 28335  25   0  74   1   0
396 26839  25   0  74   1   0
116 27203  26   0  73   1   0
474 26444  26   0  73   1   0
stem-- --------cpu--------
n   cs  us  sy  id  wa  st
491 25328  26   0  73   1   0
092 23813  26   0  73   1   0
375 23853  25   0  74   1   0
073 22236  26   0  73   1   0
939 19458  26   0  73   1   0
302 17424  26   0  73   1   0
614 15507  26   0  73   1   0
979 16058  26   0  73   1   0
506 16258  26   0  73   1   0
104 15961  26   0  73   1   0
174 16360  26   0  73   1   0
273 16266  26   0  73   1   0
956 15720  26   0  73   1   0
208 16279  26   0  73   1   0
495 16668  26   0  73   1   0
374 16115  26   0  73   1   0
484 16446  27   0  72   1   0
427 16387  26   0  73   1   0
023 15665  26   0  73   1   0
294 16178  26   0  73   1   0
044 15602  27   0  72   1   0
stem-- --------cpu--------
n   cs  us  sy  id  wa  st
277 16166  26   0  73   1   0
763 17379  26   0  73   1   0
630 16732  26   0  73   1   0
593 16721  26   0  73   1   0
795 17375  26   0  73   1   0
365 16033  26   0  73   1   0
032 16193  26   0  73   1   0
187 15824  26   0  73   1   0
208 15732  26   0  73   1   0
318 15250  27   0  72   1   0
473 16711  26   0  73   1   0
803 17037  26   0  73   1   0
404 16149  26   0  73   1   0
879 17103  26   0  73   1   0
284 15885  26   0  73   1   0
867 15615  26   0  73   1   0
017 15539  26   0  73   1   0
195 15128  26   0  73   1   0
214 15593  26   0  73   1   0
011 15360  26   0  73   1   0
444 16056  26   0  73   1   0
stem-- --------cpu--------
n   cs  us  sy  id  wa  st
228 15681  26   0  73   1   0
563 16587  26   0  73   1   0
279 15823  26   0  73   1   0
479 15562  27   0  72   1   0
430 16224  25   0  74   1   0
709 16346  26   0  73   1   0
574 16072  26   0  73   1   0
286 15727  26   0  73   1   0
389 15950  26   0  73   1   0
359 15995  27   0  72   1   0
251 16131  26   0  73   1   0
134 15266  26   0  73   1   0
304 15238  26   0  73   1   0
501 16006  26   0  73   1   0
153 15382  26   0  73   1   0
235 15405  26   0  73   1   0
390 15555  26   0  73   1   0
217 15274  26   0  73   1   0
095 15186  27   0  72   1   0
454 16306  26   0  73   1   0
417 16304  26   0  73   1   0
stem-- --------cpu--------
n   cs  us  sy  id  wa  st
904 17405  26   0  73   1   0
928 15250  26   0  73   1   0
725 15890  26   0  73   1   0
485 16098  26   0  73   1   0
355 15798  26   0  73   1   0
224 15729  26   0  73   1   0
194 15562  26   0  73   1   0
024 10317  15   0  84   1   0
  795   0   1  99   0   0
