stem-- --------cpu--------
n   cs  us  sy  id  wa  st
7 60338   2   1  96   0   0
3 59844   3   1  96   0   0
0 60591   2   1  96   0   0
2 60992   2   1  96   0   0
1 60051   2   1  96   0   0
9 60960   1   1  97   0   0
5 60004   2   1  97   0   0
stem-- --------cpu--------
n   cs  us  sy  id  wa  st
5 59582   2   2  96   0   0
3 60851   2   2  96   0   0
7 60885   2   1  97   0   0
8 60334   2   1  97   0   0
3 60306   2   1  96   0   0
5 60530   3   1  96   0   0
0 58890   2   1  97   0   0
7 60248   2   1  97   0   0
4 59414   2   1  96   0   0
2 60249   3   1  96   0   0
1 58933   2   1  97   0   0
6 58755   2   1  96   0   0
0 60623   2   1  97   0   0
8 58933   2   1  96   0   0
5 57820   2   1  97   0   0
4 59215   2   1  96   0   0
9 58770   2   1  97   0   0
1 58220   2   1  97   0   0
9 58821   2   1  97   0   0
3 57965   2   1  97   0   0
5 58133   2   1  97   0   0
stem-- --------cpu--------
n   cs  us  sy  id  wa  st
2 58568   2   1  97   0   0
6 58211   2   1  97   0   0
8 57236   2   1  97   0   0
8 58446   2   1  97   0   0
5 57908   2   1  97   0   0
5 58381   2   1  97   0   0
4 57251   2   1  97   0   0
6 56446   2   1  96   0   0
8 57743   2   1  97   0   0
5 57851   2   1  96   0   0
2 57514   2   1  97   0   0
6 58027   2   1  97   0   0
3 58141   2   2  96   0   0
0 58176   2   1  97   0   0
2 58465   2   1  96   0   0
1 59325   2   1  96   0   0
6 58723   2   1  97   0   0
2 58887   2   1  97   0   0
9 58972   3   1  96   0   0
8 58989   2   2  96   0   0
9 59349   3   2  96   0   0
stem-- --------cpu--------
n   cs  us  sy  id  wa  st
9 58990   2   1  96   0   0
3 59430   1   1  97   0   0
0 60338   3   2  96   0   0
7 59031   2   1  96   0   0
6 60204   3   2  95   0   0
0 60234   2   2  97   0   0
7 59128   2   1  97   0   0
3 60838   2   2  97   0   0
3 60509   2   1  96   0   0
0 59903   2   2  96   0   0
6 60723   3   1  96   0   0
0 61648   3   1  96   0   0
8 60929   2   2  96   0   0
9 62445   2   2  96   0   0
2 61055   3   1  96   0   0
2 63259   2   1  96   0   0
1 63685   2   1  97   0   0
7 63397   2   2  96   0   0
1 65122   2   2  96   0   0
1 66314   2   2  96   0   0
0 66310   2   1  97   0   0
stem-- --------cpu--------
n   cs  us  sy  id  wa  st
7 69741   3   2  96   0   0
8 74557   2   2  97   0   0
46 88000   1   2  97   0   0
301 642163   3  44  52   0   0
697 708786   2  46  52   0   0
453 703691   2  45  53   0   0
601 705105   2  45  53   0   0
908 728560   2  47  51   0   0
143 659371   3  32  64   0   0
385 479191   4   5  90   0   0
288 307288  10   4  86   0   0
498 123469  23   2  75   0   0
250 46454  27   1  72   0   0
353 45037  27   1  72   0   0
554 33204  28   1  71   0   0
060 20238  28   1  72   0   0
310 20563  28   1  72   0   0
314 20345  27   1  72   0   0
254 19790  28   1  71   0   0
962 19127  27   1  72   0   0
061 19089  27   1  72   0   0
stem-- --------cpu--------
n   cs  us  sy  id  wa  st
958 18941  27   1  72   0   0
440 19073  28   1  72   0   0
034 18759  28   1  72   0   0
995 19136  28   1  72   0   0
891 18086  28   1  71   0   0
657 18523  27   1  72   0   0
095 18268  28   1  72   0   0
808 17784  28   1  72   0   0
771 17876  28   1  72   0   0
942 18259  28   1  72   0   0
37 3075   1   1  97   0   0
