stem-- --------cpu--------
n   cs  us  sy  id  wa  st
5 57898   2   1  97   0   0
4 58841   2   1  97   0   0
8 58379   2   1  97   0   0
5 58543   2   1  96   0   0
5 59129   2   1  97   0   0
7 58358   2   1  97   0   0
8 56773   2   1  97   0   0
6 56822   2   1  97   0   0
1 57486   2   1  97   0   0
6 57252   2   1  97   0   0
9 57256   2   1  96   0   0
5 59220   2   1  97   0   0
9 58655   2   1  96   0   0
0 59038   2   1  96   0   0
0 58249   2   1  97   0   0
4 58938   3   1  96   0   0
6 58426   2   1  97   0   0
7 58909   2   1  97   0   0
1 59058   2   1  96   0   0
7 59066   2   1  96   0   0
5 59395   2   2  96   0   0
stem-- --------cpu--------
n   cs  us  sy  id  wa  st
8 59464   3   2  96   0   0
9 59462   3   1  96   0   0
2 59562   3   1  96   0   0
7 59866   2   2  96   0   0
7 60478   3   2  95   0   0
6 60310   3   2  95   0   0
7 60441   3   1  96   0   0
4 60574   2   1  96   0   0
5 62685   2   1  97   0   0
0 60568   3   1  96   0   0
8 60521   3   2  95   0   0
64 61589   2   1  97   0   0
889 62489   1   2  97   0   0
8 60060   2   2  97   0   0
026 63494   3   2  95   0   0
1 63373   2   2  96   0   0
4 64034   3   2  95   0   0
3 63089   3   1  96   0   0
9 65654   3   2  96   0   0
4 66631   2   2  96   0   0
7 68839   3   1  96   0   0
stem-- --------cpu--------
n   cs  us  sy  id  wa  st
7 69549   2   2  96   0   0
5 72740   2   2  96   0   0
41 100535   2   2  96   0   0
0 1717   0   1  99   0   0
00 223418   1  19  79   0   0
496 703110   2  47  51   0   0
775 700457   2  47  51   0   0
103 702440   2  47  51   0   0
445 704762   2  47  51   0   0
941 701556   2  47  51   0   0
42 565706   4  11  85   0   0
11 505453   6   5  89   0   0
89 137798  12   3  86   0   0
44 54246  27   1  72   0   0
99 62207  27   1  72   0   0
86 64388  27   1  72   0   0
45 26758  27   1  72   0   0
39 19009  28   1  72   0   0
97 18011  27   1  72   0   0
18 17339  27   1  72   0   0
99 17455  27   1  72   0   0
stem-- --------cpu--------
n   cs  us  sy  id  wa  st
92 17150  27   1  72   0   0
77 16807  27   1  72   0   0
94 16625  28   1  72   0   0
37 16692  27   1  72   0   0
93 16070  27   1  72   0   0
63 15709  27   1  72   0   0
50 15916  27   1  72   0   0
01 15436  27   1  72   0   0
43 15518  27   1  72   0   0
59 15083  27   1  72   0   0
67 15524  27   1  72   0   0
077 15104  27   1  72   0   0
17 15088  27   1  72   0   0
02 15509  27   1  72   0   0
07 15277  27   1  72   0   0
16 9989  13   1  86   0   0
