stem-- --------cpu--------
n   cs  us  sy  id  wa  st
8 58750   2   1  96   0   0
1 60616   2   1  96   0   0
6 59080   2   1  97   0   0
9 59997   3   1  96   0   0
5 60912   3   1  96   0   0
6 59781   3   1  96   0   0
7 60259   2   1  97   0   0
8 60074   3   1  96   0   0
3 59496   3   1  96   0   0
4 60410   2   1  97   0   0
1 59692   3   2  96   0   0
2 59699   3   1  96   0   0
3 60388   3   1  96   0   0
6 59612   3   2  95   0   0
9 59984   3   1  96   0   0
stem-- --------cpu--------
n   cs  us  sy  id  wa  st
5 60842   3   1  96   0   0
3 59764   2   1  96   0   0
9 60085   2   1  97   0   0
2 60049   3   1  96   0   0
9 59609   3   2  95   0   0
6 59765   3   1  96   0   0
2 60127   2   1  96   0   0
3 59187   3   1  96   0   0
5 59641   2   1  97   0   0
4 59202   2   1  97   0   0
4 60112   3   1  96   0   0
8 59725   2   1  97   0   0
1 59692   2   1  97   0   0
2 59421   3   1  96   0   0
2 59762   2   1  97   0   0
5 59185   2   1  97   0   0
2 57857   2   1  96   0   0
6 59148   2   1  97   0   0
2 58315   2   1  96   0   0
4 59384   3   1  96   0   0
1 60453   3   1  96   0   0
stem-- --------cpu--------
n   cs  us  sy  id  wa  st
6 58686   2   1  97   0   0
0 58022   2   1  96   0   0
6 58304   2   1  97   0   0
4 58531   2   1  97   0   0
5 58709   2   1  96   0   0
2 58887   2   1  97   0   0
2 57945   2   1  96   0   0
2 59187   3   1  96   0   0
3 58793   2   1  96   0   0
6 59032   2   1  96   0   0
6 58284   2   2  96   0   0
4 59157   3   1  96   0   0
0 58503   2   1  97   0   0
2 59361   3   1  96   0   0
4 59073   2   1  96   0   0
8 60523   3   1  96   0   0
3 59089   2   1  97   0   0
0 59050   2   1  97   0   0
2 60055   2   2  96   0   0
8 59272   2   1  97   0   0
9 58748   2   1  97   0   0
stem-- --------cpu--------
n   cs  us  sy  id  wa  st
1 58845   2   1  96   0   0
8 59212   3   1  96   0   0
4 58270   2   1  96   0   0
7 58901   2   1  96   0   0
9 59069   2   1  96   0   0
4 57836   2   1  96   0   0
1 58972   2   1  97   0   0
5 57736   2   1  96   0   0
